slovo, a, b, c, d, e, f
A, 60.24, 62.11, 44.64, 100.1, 120.48, 60.24
A, 42.35, 6.29, 25.5, 99.32, 84.7, 42.35
A, 30.28, 3.5, 97.36, 80.07, 60.56, 30.28
B, 42.14, 36.11, 54.57, 60.86, 84.28, 5.949
B, 4.18, 69.95, 65.17, 2.87, 8.36, 37.811
A, 84.25, 44.72, 70.24, 94.45, 168.5, 84.25
B, 71.82, 10.48, 96.11, 50.35, 143.64, 5.036
A, 23.95, 84.63, 17.37, 36.59, 47.9, 23.95
C, 18.07, 52.73, 34.57, 44.08, 36.14, 12.815
C, 69.83, 43.83, 19.62, 94.75, 139.66, 7.399
C, 82.84, 11.27, 8.35, 64.08, 165.68, 5.28
B, 87.66, 82.15, 42.37, 22.16, 175.32, 8.394
A, 56.12, 8.69, 53.09, 100.91, 112.24, 56.12
A, 12.99, 80.62, 96.74, 17.2, 25.98, 12.99
A, 82.14, 53.21, 80.46, 92.58, 164.28, 82.14
A, 98.21, 31.0, 19.06, 20.75, 196.42, 98.21
B, 7.34, 31.93, 37.93, 27.69, 14.68, 11.024
B, 10.55, 40.95, 43.18, 100.73, 21.1, 11.25
A, 88.71, 58.95, 70.17, 55.53, 177.42, 88.71
B, 75.82, 83.15, 92.56, 21.38, 151.64, 6.844
C, 79.98, 33.69, 43.46, 48.96, 159.96, 5.542
B, 51.83, 21.12, 94.0, 52.52, 103.66, 5.151
B, 4.49, 45.9, 9.34, 31.39, 8.98, 91.415
A, 38.93, 34.85, 12.38, 12.89, 77.86, 38.93
C, 45.0, 38.43, 65.61, 5.95, 90.0, 5.845
B, 46.89, 96.28, 74.75, 1.08, 93.78, 10.052
A, 81.52, 57.4, 23.21, 27.22, 163.04, 81.52
A, 19.98, 61.16, 95.58, 95.67, 39.96, 19.98
B, 70.73, 6.41, 16.15, 64.36, 141.46, 5.079
B, 4.77, 7.3, 86.08, 39.07, 9.54, 5.461
B, 39.11, 1.31, 54.47, 65.23, 78.22, 5.21
A, 13.62, 10.1, 76.77, 22.86, 27.24, 13.62
B, 53.67, 13.45, 73.42, 36.91, 107.34, 5.081
C, 38.89, 3.76, 55.29, 82.58, 77.78, 5.081
B, 40.8, 61.91, 40.96, 22.18, 81.6, 9.118
A, 62.19, 75.84, 72.61, 36.72, 124.38, 62.19
A, 28.16, 49.58, 47.95, 88.94, 56.32, 28.16
A, 64.63, 3.58, 41.0, 31.3, 129.26, 64.63
B, 64.23, 60.91, 16.53, 83.93, 128.46, 11.256
C, 94.48, 56.2, 54.84, 5.72, 188.96, 6.081
A, 92.54, 73.19, 45.43, 33.58, 185.08, 92.54
C, 15.31, 20.66, 13.0, 5.99, 30.62, 8.328
A, 45.94, 18.18, 51.79, 93.44, 91.88, 45.94
B, 79.26, 49.48, 59.44, 73.16, 158.52, 5.906
A, 39.04, 18.25, 7.72, 93.76, 78.08, 39.04
B, 13.34, 5.41, 19.7, 10.59, 26.68, 5.289
C, 1.24, 34.53, 93.49, 2.67, 2.48, 22.216
C, 86.44, 30.87, 54.28, 22.1, 172.88, 5.334
C, 53.36, 55.08, 4.15, 15.39, 106.72, 29.176
A, 19.6, 73.55, 44.83, 87.84, 39.2, 19.6
B, 15.97, 33.88, 35.58, 62.22, 31.94, 8.346
B, 100.71, 31.48, 19.31, 39.48, 201.42, 5.835
B, 62.96, 27.33, 37.34, 54.02, 125.92, 5.514
B, 35.26, 29.33, 96.25, 44.1, 70.52, 5.419
C, 16.19, 67.42, 54.01, 55.22, 32.38, 14.446
B, 75.74, 61.6, 87.7, 66.45, 151.48, 6.026
B, 94.45, 47.99, 13.63, 54.27, 188.9, 8.099
A, 45.57, 66.79, 45.91, 85.72, 91.14, 45.57
B, 54.98, 100.73, 83.73, 95.06, 109.96, 9.237
A, 42.84, 9.69, 40.1, 64.76, 85.68, 42.84
A, 52.16, 63.34, 84.42, 23.11, 104.32, 52.16
A, 63.66, 71.69, 15.94, 59.67, 127.32, 63.66
A, 23.22, 22.11, 97.76, 81.4, 46.44, 23.22
B, 54.88, 25.23, 39.52, 91.06, 109.76, 5.472
A, 98.49, 86.96, 17.91, 44.55, 196.98, 98.49
C, 16.33, 98.8, 73.73, 29.33, 32.66, 20.542
B, 99.74, 69.1, 74.5, 94.62, 199.48, 6.172
C, 41.95, 34.71, 88.56, 67.73, 83.9, 5.543
C, 40.57, 72.35, 15.62, 16.04, 81.14, 20.149
C, 76.85, 6.96, 17.49, 67.12, 153.7, 5.074
A, 87.47, 71.56, 1.81, 98.04, 174.94, 87.47
A, 33.66, 56.02, 95.55, 27.92, 67.32, 33.66
A, 14.98, 42.43, 85.36, 39.94, 29.96, 14.98
A, 8.58, 34.06, 28.0, 79.55, 17.16, 8.58
A, 10.92, 4.34, 1.59, 21.97, 21.84, 10.92
A, 64.58, 23.94, 32.8, 90.51, 129.16, 64.58
A, 31.74, 88.66, 16.41, 19.97, 63.48, 31.74
C, 96.75, 30.52, 67.66, 72.18, 193.5, 5.235
C, 84.93, 66.21, 62.91, 74.6, 169.86, 6.488
C, 54.11, 94.96, 96.52, 83.47, 108.22, 8.292
B, 94.28, 89.91, 65.47, 48.57, 188.56, 7.478
B, 95.79, 38.57, 100.38, 9.78, 191.58, 5.262
A, 97.11, 89.74, 80.04, 67.22, 194.22, 97.11
B, 18.36, 50.67, 9.78, 47.41, 36.72, 29.94
A, 2.88, 32.04, 59.6, 81.27, 5.76, 2.88
B, 97.5, 62.71, 75.68, 56.06, 195.0, 5.959
A, 54.75, 52.33, 89.63, 61.83, 109.5, 54.75
B, 39.08, 17.22, 37.53, 86.41, 78.16, 5.319
C, 46.19, 91.52, 6.01, 97.85, 92.38, 62.198
A, 32.61, 44.44, 65.5, 43.31, 65.22, 32.61
B, 62.93, 31.14, 64.25, 88.46, 125.86, 5.396
B, 21.31, 40.72, 93.62, 99.61, 42.62, 6.417
B, 47.54, 14.61, 38.0, 48.99, 95.08, 5.189
A, 94.62, 50.9, 50.32, 100.39, 189.24, 94.62
B, 74.13, 83.68, 7.26, 47.17, 148.26, 29.356
B, 98.34, 47.29, 41.15, 58.53, 196.68, 5.957
B, 3.63, 46.79, 52.46, 14.49, 7.26, 24.877
A, 28.21, 18.32, 61.84, 85.33, 56.42, 28.21
B, 5.78, 91.38, 50.46, 19.72, 11.56, 59.278
C, 48.82, 78.0, 65.91, 65.08, 97.64, 8.507
B, 91.63, 85.88, 18.17, 6.37, 183.26, 13.324
A, 15.33, 48.94, 100.37, 28.58, 30.66, 15.33
C, 73.04, 47.92, 25.03, 93.63, 146.08, 7.176
B, 14.79, 36.28, 22.36, 63.41, 29.58, 11.638
B, 50.09, 40.68, 95.33, 53.63, 100.18, 5.591
A, 52.93, 90.62, 58.61, 64.96, 105.86, 52.93
C, 69.65, 49.57, 64.68, 28.07, 139.3, 5.951
B, 10.28, 9.77, 77.76, 19.78, 20.56, 5.266
A, 4.46, 64.1, 69.39, 65.96, 8.92, 4.46
A, 32.34, 75.19, 30.38, 22.28, 64.68, 32.34
C, 10.24, 71.47, 36.29, 54.24, 20.48, 30.173
C, 22.26, 37.49, 2.99, 71.17, 44.52, 40.298
B, 65.86, 80.1, 59.18, 96.09, 131.72, 8.064
C, 24.74, 47.21, 98.86, 97.04, 49.48, 6.582
B, 83.84, 9.83, 64.67, 91.9, 167.68, 5.038
B, 23.49, 16.94, 89.9, 78.58, 46.98, 5.229
B, 7.3, 47.95, 73.3, 36.93, 14.6, 12.461
B, 52.62, 27.12, 5.49, 94.13, 105.24, 9.076
B, 58.18, 80.61, 27.72, 35.89, 116.36, 12.504
C, 33.02, 35.56, 93.73, 22.23, 66.04, 5.686
A, 9.51, 46.92, 77.4, 8.71, 19.02, 9.51
A, 20.36, 55.18, 75.19, 76.47, 40.72, 20.36
C, 11.93, 72.18, 3.26, 86.4, 23.86, 250.551
C, 64.74, 95.97, 61.52, 40.71, 129.48, 9.415
C, 47.46, 61.73, 97.69, 62.72, 94.92, 6.477
A, 31.22, 12.95, 81.42, 46.75, 62.44, 31.22
A, 77.2, 39.13, 100.84, 16.8, 154.4, 77.2
C, 74.28, 27.23, 96.21, 80.78, 148.56, 5.171
C, 51.6, 91.0, 37.13, 6.69, 103.2, 13.189
B, 12.97, 51.34, 75.42, 13.78, 25.94, 9.722
A, 15.67, 81.69, 23.54, 87.64, 31.34, 15.67
A, 77.56, 72.98, 72.7, 64.94, 155.12, 77.56
C, 34.5, 85.53, 11.13, 89.16, 69.0, 40.773
B, 86.55, 21.32, 41.25, 33.56, 173.1, 5.203
C, 12.17, 94.17, 32.63, 25.1, 24.34, 47.511
C, 88.89, 73.55, 47.42, 77.74, 177.78, 7.36
C, 7.81, 55.27, 16.64, 48.13, 15.62, 46.51
C, 37.16, 52.73, 70.49, 43.0, 74.32, 6.866
C, 18.14, 95.82, 5.79, 41.06, 36.28, 171.792
B, 41.96, 71.01, 83.9, 47.54, 83.92, 7.623
B, 10.42, 89.44, 57.07, 83.28, 20.84, 30.427
C, 53.19, 57.72, 91.74, 84.13, 106.38, 6.216
A, 17.97, 100.04, 15.43, 10.72, 35.94, 17.97
C, 57.2, 68.08, 37.24, 91.45, 114.4, 8.958
B, 1.99, 77.54, 9.74, 93.16, 3.98, 579.424
B, 39.71, 22.06, 27.19, 40.24, 79.42, 5.712
C, 89.4, 31.92, 12.68, 36.49, 178.8, 6.474
A, 50.48, 33.19, 25.55, 57.59, 100.96, 50.48
B, 28.84, 3.28, 73.74, 44.61, 57.68, 5.116
B, 22.76, 25.77, 95.71, 88.05, 45.52, 5.5
B, 85.79, 45.61, 14.59, 77.52, 171.58, 7.859
A, 5.98, 17.97, 68.97, 39.25, 11.96, 5.98
C, 56.33, 89.4, 36.53, 62.79, 112.66, 12.34
A, 44.03, 100.58, 57.73, 68.15, 88.06, 44.03
B, 93.27, 46.71, 15.73, 7.6, 186.54, 7.567
C, 43.68, 10.79, 24.64, 3.84, 87.36, 5.176
B, 78.53, 40.05, 27.61, 70.65, 157.06, 6.252
B, 32.06, 94.56, 86.64, 58.11, 64.12, 11.134
A, 30.21, 20.3, 98.5, 93.36, 60.42, 30.21
A, 58.96, 32.27, 95.12, 31.82, 117.92, 58.96
B, 90.76, 90.98, 72.75, 41.63, 181.52, 7.376
A, 80.89, 11.53, 97.32, 40.07, 161.78, 80.89
A, 36.37, 89.98, 34.3, 83.92, 72.74, 36.37
C, 91.28, 24.38, 71.91, 91.02, 182.56, 5.147
C, 56.83, 29.06, 2.04, 43.51, 113.66, 16.76
C, 13.93, 86.87, 17.37, 31.04, 27.86, 63.693
A, 71.74, 68.9, 80.72, 13.86, 143.48, 71.74
B, 20.06, 80.35, 1.6, 93.82, 40.12, 379.342
A, 80.81, 57.95, 1.32, 46.38, 161.62, 80.81
B, 54.98, 93.67, 32.47, 15.78, 109.96, 14.349
A, 4.47, 15.89, 86.89, 27.76, 8.94, 4.47
C, 90.04, 85.07, 79.39, 80.49, 180.08, 6.901
B, 86.17, 75.35, 44.2, 43.96, 172.34, 7.751
A, 46.01, 48.07, 62.7, 84.86, 92.02, 46.01
B, 88.79, 4.06, 71.89, 10.35, 177.58, 5.034
C, 7.27, 56.08, 86.45, 79.8, 14.54, 13.875
C, 79.46, 13.1, 24.06, 26.79, 158.92, 5.142
B, 11.48, 2.91, 72.06, 8.44, 22.96, 5.316
A, 77.29, 87.03, 76.76, 1.01, 154.58, 77.29
C, 50.84, 52.51, 34.5, 72.86, 101.68, 7.759
C, 94.06, 37.47, 74.41, 88.64, 188.12, 5.338
A, 71.73, 97.8, 67.37, 17.51, 143.46, 71.73
B, 78.72, 40.15, 27.67, 48.45, 157.44, 6.252
B, 18.17, 65.13, 64.77, 47.78, 36.34, 11.52
B, 61.81, 26.51, 47.74, 3.7, 123.62, 5.386
C, 90.09, 69.83, 49.19, 74.19, 180.18, 7.009
C, 24.38, 52.38, 14.12, 68.49, 48.76, 18.969
C, 43.42, 40.09, 81.3, 100.96, 86.84, 5.774
B, 11.05, 11.85, 34.46, 18.48, 22.1, 5.602
A, 74.93, 79.65, 95.4, 29.24, 149.86, 74.93
B, 29.46, 35.94, 41.31, 41.73, 58.92, 6.773
B, 75.61, 64.07, 75.26, 68.64, 151.22, 6.302
C, 59.52, 27.16, 9.54, 83.72, 119.04, 7.083
B, 94.9, 40.05, 95.33, 60.43, 189.8, 5.302
A, 81.4, 20.43, 17.99, 74.34, 162.8, 81.4
B, 41.69, 24.61, 77.31, 50.07, 83.38, 5.306
C, 12.45, 40.38, 97.87, 34.53, 24.9, 7.279
A, 26.88, 19.48, 31.53, 3.37, 53.76, 26.88
A, 15.19, 85.21, 70.5, 97.29, 30.38, 15.19
A, 36.4, 100.86, 37.88, 85.87, 72.8, 36.4
C, 7.47, 30.14, 57.86, 64.09, 14.94, 8.449
C, 81.13, 69.65, 77.52, 22.15, 162.26, 6.409
A, 43.77, 35.45, 20.39, 27.25, 87.54, 43.77
C, 15.44, 14.2, 34.47, 67.73, 30.88, 5.599
A, 49.35, 89.93, 96.45, 91.62, 98.7, 49.35
B, 97.8, 99.01, 19.63, 15.92, 195.6, 14.789
B, 80.82, 4.73, 16.17, 71.02, 161.64, 5.061
A, 80.98, 12.24, 57.64, 63.3, 161.96, 80.98
B, 61.73, 21.32, 56.1, 33.24, 123.46, 5.211
C, 99.08, 82.77, 29.43, 93.75, 198.16, 9.392
C, 11.24, 18.7, 27.11, 34.27, 22.48, 6.787
B, 79.2, 94.7, 58.96, 48.85, 158.4, 8.66
A, 82.19, 73.7, 55.4, 71.74, 164.38, 82.19
A, 36.84, 15.91, 55.03, 32.84, 73.68, 36.84
C, 46.25, 1.6, 44.6, 30.41, 92.5, 5.15
B, 33.3, 99.95, 3.68, 59.14, 66.6, 161.475
B, 54.77, 19.87, 98.69, 75.05, 109.54, 5.121
B, 86.87, 10.07, 85.83, 16.23, 173.74, 5.031
B, 46.95, 84.32, 32.11, 2.78, 93.9, 13.839
A, 18.36, 74.93, 57.59, 28.81, 36.72, 18.36
A, 41.51, 13.41, 54.58, 51.61, 83.02, 41.51
A, 13.74, 56.15, 25.88, 65.06, 27.48, 13.74
A, 95.26, 72.84, 84.77, 16.16, 190.52, 95.26
A, 20.83, 56.41, 42.26, 41.91, 41.66, 20.83
B, 84.0, 87.18, 19.62, 38.61, 168.0, 13.684
A, 91.83, 52.07, 61.72, 94.04, 183.66, 91.83
A, 44.62, 23.12, 100.5, 84.38, 89.24, 44.62
C, 68.71, 89.93, 89.53, 14.44, 137.42, 7.488
B, 38.62, 29.5, 99.87, 33.85, 77.24, 5.373
A, 4.15, 66.97, 17.84, 97.26, 8.3, 4.15
B, 82.91, 69.11, 88.31, 44.09, 165.82, 6.19
B, 49.65, 37.85, 45.14, 55.59, 99.3, 6.075
B, 83.76, 24.39, 71.54, 46.23, 167.52, 5.162
B, 31.58, 96.52, 7.03, 42.1, 63.16, 85.149
C, 77.66, 76.62, 45.89, 87.49, 155.32, 8.047
C, 53.39, 99.93, 53.85, 70.88, 106.78, 11.668
C, 94.74, 40.4, 87.63, 28.83, 189.48, 5.335
C, 63.61, 77.89, 96.37, 55.46, 127.22, 6.836
A, 45.95, 99.19, 27.25, 42.85, 91.9, 45.95
B, 34.66, 85.39, 82.11, 67.06, 69.32, 9.813
B, 68.93, 3.45, 100.35, 63.11, 137.86, 5.047
A, 53.29, 44.95, 44.47, 24.12, 106.58, 53.29
A, 74.78, 76.4, 91.41, 90.1, 149.56, 74.78
A, 15.89, 63.85, 98.0, 85.66, 31.78, 15.89
A, 97.87, 26.15, 80.43, 91.33, 195.74, 97.87
A, 13.18, 6.71, 85.62, 50.32, 26.36, 13.18
B, 50.84, 19.28, 29.48, 12.39, 101.68, 5.389
A, 38.22, 55.46, 5.51, 76.31, 76.44, 38.22
C, 19.3, 30.84, 6.3, 83.32, 38.6, 17.733
B, 61.89, 56.41, 92.82, 36.3, 123.78, 5.984
C, 3.31, 41.52, 92.13, 95.3, 6.62, 14.654
B, 60.42, 67.51, 34.73, 79.96, 120.84, 8.946
A, 39.72, 10.61, 74.43, 20.07, 79.44, 39.72
C, 79.04, 100.08, 60.92, 68.42, 158.08, 8.995
B, 69.98, 53.26, 21.78, 100.67, 139.96, 8.271
C, 80.39, 91.27, 16.32, 76.59, 160.78, 17.033
C, 31.35, 52.43, 85.67, 29.77, 62.7, 6.799
A, 65.09, 100.65, 22.79, 79.91, 130.18, 65.09
C, 90.54, 33.71, 72.79, 59.48, 181.08, 5.287
B, 31.72, 76.19, 47.62, 68.37, 63.44, 12.102
A, 63.73, 42.77, 26.5, 70.71, 127.46, 63.73
B, 95.11, 95.89, 76.23, 2.4, 190.22, 7.421
A, 19.64, 49.87, 42.38, 7.25, 39.28, 19.64
B, 10.9, 21.94, 97.75, 18.71, 21.8, 5.742
C, 100.2, 1.78, 55.85, 38.22, 200.4, 5.067
C, 87.92, 79.42, 65.67, 19.51, 175.84, 7.031
C, 52.17, 72.67, 49.43, 38.49, 104.34, 8.76
C, 73.62, 52.55, 55.85, 66.5, 147.24, 6.18
B, 30.3, 80.3, 90.67, 10.75, 60.6, 9.372
A, 35.67, 66.21, 20.61, 35.88, 71.34, 35.67
C, 48.91, 80.58, 6.21, 10.32, 97.82, 44.804
B, 46.5, 100.33, 53.37, 39.77, 93.0, 12.792
C, 23.88, 70.48, 70.65, 5.05, 47.76, 10.385
B, 53.05, 71.18, 7.47, 70.52, 106.1, 28.392
B, 51.25, 25.75, 53.26, 94.55, 102.5, 5.393
A, 86.95, 100.03, 76.96, 8.31, 173.9, 86.95
A, 20.47, 13.84, 14.13, 39.98, 40.94, 20.47
C, 1.94, 7.48, 12.24, 73.42, 3.88, 8.833
C, 94.57, 47.04, 31.57, 87.73, 189.14, 6.281
A, 43.76, 36.75, 19.39, 46.12, 87.52, 43.76
A, 51.12, 6.9, 3.52, 18.16, 102.24, 51.12
B, 13.95, 47.86, 59.51, 37.47, 27.9, 9.787
C, 47.65, 53.47, 38.06, 35.63, 95.3, 7.774
A, 60.09, 21.27, 62.69, 43.44, 120.18, 60.09
C, 57.44, 24.13, 70.76, 89.92, 114.88, 5.233
B, 43.43, 95.56, 54.59, 87.39, 86.86, 12.348
C, 76.95, 25.66, 18.12, 74.49, 153.9, 5.755
A, 98.59, 57.61, 23.29, 69.47, 197.18, 98.59
A, 95.47, 29.95, 82.15, 42.69, 190.94, 95.47
C, 65.77, 98.25, 50.8, 34.87, 131.54, 10.534
A, 22.78, 6.06, 21.81, 17.58, 45.56, 22.78
C, 84.38, 65.7, 73.64, 22.19, 168.76, 6.258
C, 82.82, 99.26, 48.91, 32.28, 165.64, 9.665
C, 10.73, 64.03, 97.94, 13.29, 21.46, 12.045
A, 69.33, 88.78, 33.72, 59.61, 138.66, 69.33
B, 51.33, 98.72, 53.54, 34.22, 102.66, 11.797
B, 61.42, 16.79, 82.49, 55.98, 122.84, 5.093
A, 82.35, 66.68, 50.87, 4.46, 164.7, 82.35
B, 15.03, 62.67, 62.42, 60.4, 30.06, 12.532
B, 24.42, 93.03, 86.94, 95.32, 48.84, 12.75
C, 11.53, 63.16, 90.04, 65.61, 23.06, 11.925
C, 99.6, 71.88, 7.69, 17.24, 199.2, 17.36
A, 63.88, 89.26, 12.92, 84.54, 127.76, 63.88
B, 86.77, 50.79, 82.73, 38.22, 173.54, 5.629
B, 96.96, 33.84, 37.99, 19.14, 193.92, 5.516
C, 31.6, 28.79, 78.19, 22.99, 63.2, 5.551
B, 28.75, 27.57, 100.91, 84.66, 57.5, 5.432
B, 38.97, 7.77, 44.85, 74.1, 77.94, 5.082
C, 11.91, 85.34, 18.33, 82.58, 23.82, 67.624
B, 78.24, 38.81, 90.89, 35.2, 156.48, 5.359
A, 73.59, 98.65, 41.57, 65.82, 147.18, 73.59
C, 35.58, 37.68, 40.99, 55.07, 71.16, 6.636
B, 57.14, 58.26, 78.03, 75.57, 114.28, 6.357
C, 42.71, 92.46, 50.63, 97.92, 85.42, 12.507
B, 61.87, 100.04, 33.89, 5.18, 123.74, 14.164
B, 7.96, 93.99, 18.5, 20.92, 15.92, 119.158
C, 62.66, 38.46, 49.26, 58.11, 125.32, 5.808
A, 63.92, 9.16, 40.53, 60.32, 127.84, 63.92
B, 84.24, 96.12, 94.57, 65.62, 168.48, 7.215
C, 40.45, 65.68, 85.88, 98.92, 80.9, 7.25
B, 7.61, 78.85, 86.52, 19.41, 15.22, 22.543
B, 10.77, 65.9, 98.84, 28.74, 21.54, 12.396
C, 79.67, 82.51, 99.49, 20.22, 159.34, 6.606
B, 16.64, 33.05, 37.35, 76.61, 33.28, 7.903
C, 23.76, 68.97, 33.77, 7.01, 47.52, 15.803
C, 76.57, 30.57, 13.11, 57.14, 153.14, 6.518
A, 51.74, 37.61, 50.76, 15.03, 103.48, 51.74
B, 56.68, 54.87, 18.18, 12.79, 113.36, 10.156
B, 96.1, 15.34, 8.28, 37.93, 192.2, 5.45
B, 22.19, 57.43, 22.78, 54.93, 44.38, 16.587
A, 37.72, 91.15, 78.57, 31.79, 75.44, 37.72
C, 78.13, 37.55, 63.78, 71.21, 156.26, 5.477
B, 90.69, 72.3, 37.28, 13.29, 181.38, 7.836
C, 50.51, 100.77, 7.85, 53.4, 101.02, 54.215
A, 40.41, 90.21, 64.56, 62.2, 80.82, 40.41
C, 33.92, 52.78, 25.61, 41.68, 67.84, 10.629
A, 12.87, 53.23, 63.47, 71.21, 25.74, 12.87
B, 78.73, 99.89, 93.82, 76.33, 157.46, 7.594
C, 96.78, 86.39, 24.23, 28.21, 193.56, 10.985
B, 53.59, 62.29, 13.21, 21.93, 107.18, 14.843
B, 12.45, 57.56, 77.11, 96.93, 24.9, 11.14
A, 68.99, 53.19, 54.07, 37.4, 137.98, 68.99
A, 38.43, 31.28, 95.56, 19.85, 76.86, 38.43
B, 80.17, 8.61, 13.12, 71.96, 160.34, 5.119
A, 21.94, 20.8, 61.32, 90.67, 43.88, 21.94
A, 88.49, 24.97, 39.55, 84.96, 176.98, 88.49
C, 15.63, 47.84, 95.17, 3.24, 31.26, 7.674
B, 45.54, 36.38, 51.72, 24.53, 91.08, 5.941
C, 46.6, 88.17, 69.15, 99.73, 93.2, 9.552
B, 81.95, 29.17, 32.3, 59.43, 163.9, 5.524
B, 51.61, 14.12, 43.54, 36.72, 103.22, 5.144
C, 41.37, 41.7, 42.49, 96.33, 82.74, 6.684
C, 3.42, 48.44, 84.7, 92.51, 6.84, 19.092
A, 19.37, 95.66, 51.54, 90.65, 38.74, 19.37
B, 95.32, 33.95, 35.42, 81.81, 190.64, 5.566
B, 93.09, 81.52, 66.74, 83.06, 186.18, 6.996
C, 67.83, 54.78, 7.76, 85.59, 135.66, 15.054
C, 66.83, 59.51, 17.42, 76.84, 133.66, 10.429
A, 70.46, 66.39, 75.63, 81.43, 140.92, 70.46
C, 5.45, 32.59, 34.2, 89.89, 10.9, 14.389
C, 63.51, 79.69, 45.85, 7.2, 127.02, 9.056
B, 63.0, 10.6, 51.98, 95.07, 126.0, 5.065
A, 91.09, 77.56, 28.09, 6.14, 182.18, 91.09
C, 74.49, 47.4, 70.5, 5.48, 148.98, 5.742
B, 15.67, 36.71, 88.69, 96.16, 31.34, 6.633
B, 6.0, 67.07, 74.33, 14.04, 12.0, 23.321
C, 12.93, 78.38, 80.31, 6.55, 25.86, 15.981
C, 35.38, 31.01, 93.67, 9.89, 70.76, 5.481
C, 37.85, 48.95, 62.59, 75.1, 75.7, 6.76
B, 97.65, 36.11, 64.43, 18.23, 195.3, 5.348
B, 4.62, 39.18, 57.34, 66.21, 9.24, 14.797
A, 36.41, 55.6, 30.74, 91.28, 72.82, 36.41
A, 3.77, 23.32, 95.31, 34.9, 7.54, 3.77
C, 87.52, 21.19, 90.04, 66.2, 175.04, 5.094
B, 55.18, 22.68, 48.62, 44.29, 110.36, 5.307
C, 62.8, 37.17, 86.17, 13.72, 125.6, 5.431
B, 92.93, 88.62, 100.29, 100.64, 185.86, 6.591
C, 59.09, 37.59, 90.27, 75.7, 118.18, 5.447
A, 18.75, 23.56, 69.62, 16.55, 37.5, 18.75
C, 51.05, 5.08, 28.39, 44.12, 102.1, 5.068
A, 75.89, 76.65, 31.13, 62.41, 151.78, 75.89
C, 59.01, 81.35, 54.95, 60.43, 118.02, 8.807
B, 96.52, 85.16, 17.13, 15.9, 193.04, 13.232
C, 73.59, 34.38, 25.64, 36.69, 147.18, 6.039
B, 15.21, 41.83, 88.79, 76.77, 30.42, 7.214
B, 1.66, 49.97, 64.56, 5.02, 3.32, 45.66
C, 63.75, 58.22, 44.74, 36.49, 127.5, 7.116
A, 92.36, 1.33, 50.89, 16.89, 184.72, 92.36
C, 35.94, 34.84, 6.39, 45.31, 71.88, 13.751
A, 52.48, 30.18, 24.06, 7.86, 104.96, 52.48
A, 67.14, 22.54, 24.74, 17.14, 134.28, 67.14
B, 18.38, 65.5, 83.75, 27.51, 36.76, 10.047
B, 51.0, 12.35, 78.15, 23.85, 102.0, 5.072
B, 95.98, 23.06, 74.64, 84.26, 191.96, 5.121
C, 83.79, 67.32, 28.74, 57.43, 167.58, 8.418
B, 43.42, 56.59, 33.41, 73.32, 86.84, 8.914
C, 3.08, 84.16, 12.87, 81.6, 6.16, 339.745
B, 54.72, 37.43, 98.36, 6.0, 109.44, 5.44
B, 32.42, 78.4, 87.2, 98.31, 64.84, 9.036
A, 83.02, 20.27, 86.17, 22.58, 166.04, 83.02
C, 73.0, 59.44, 22.95, 35.71, 146.0, 8.764
C, 42.56, 41.31, 22.81, 54.2, 85.12, 7.984
C, 83.18, 83.54, 47.13, 51.58, 166.36, 8.333
B, 3.84, 37.79, 50.59, 8.36, 7.68, 17.364
C, 57.13, 29.04, 63.15, 84.84, 114.26, 5.383
C, 20.08, 83.22, 100.88, 86.92, 40.16, 11.4
A, 29.44, 10.45, 78.56, 23.95, 58.88, 29.44
C, 86.95, 91.37, 85.0, 96.84, 173.9, 7.142
A, 62.14, 88.98, 25.02, 90.35, 124.28, 62.14
A, 21.84, 71.3, 64.53, 76.07, 43.68, 21.84
C, 44.64, 58.05, 29.47, 70.42, 89.28, 9.557
A, 49.01, 37.44, 80.06, 43.34, 98.02, 49.01
C, 24.51, 7.03, 65.11, 10.07, 49.02, 5.101
C, 13.99, 3.75, 63.22, 20.59, 27.98, 5.214
C, 8.68, 79.62, 43.39, 73.17, 17.36, 36.298
B, 19.08, 45.9, 54.53, 94.81, 38.16, 8.493
C, 40.64, 45.02, 84.27, 23.47, 81.28, 6.02
B, 33.17, 55.47, 56.79, 37.1, 66.34, 7.89
B, 25.69, 52.57, 11.75, 9.66, 51.38, 21.053
A, 1.07, 84.09, 92.31, 7.26, 2.14, 1.07
A, 10.79, 15.36, 82.52, 37.89, 21.58, 10.79
B, 22.62, 94.42, 21.17, 15.37, 45.24, 40.451
B, 74.31, 61.01, 55.95, 72.26, 148.62, 6.605
B, 39.83, 58.65, 22.48, 91.47, 79.66, 11.843
A, 41.75, 97.91, 56.81, 80.94, 83.5, 41.75
B, 92.94, 56.44, 27.58, 79.79, 185.88, 7.202
C, 50.74, 42.97, 17.82, 47.91, 101.48, 8.484
C, 60.65, 59.34, 36.15, 18.15, 121.3, 7.866
C, 89.27, 42.17, 7.78, 67.71, 178.54, 9.355
A, 76.04, 83.18, 92.32, 25.12, 152.08, 76.04
C, 72.78, 36.14, 20.52, 11.26, 145.56, 6.459
A, 38.97, 61.38, 94.42, 91.73, 77.94, 38.97
A, 34.12, 67.65, 29.32, 6.42, 68.24, 34.12
C, 78.77, 81.13, 87.32, 4.87, 157.54, 6.785
C, 99.3, 29.47, 73.14, 83.98, 198.6, 5.197
C, 10.61, 89.13, 14.24, 9.62, 21.22, 104.307
C, 94.35, 1.47, 73.78, 44.25, 188.7, 5.082
